Iis RealityIndex
dZj VoxelX
IyE VoxelY
uXE VoxelZ
vby SolarSystemIndex
jsv PlanetIndex
oZw GalacticAddress
yhJ UniverseAddress
ux@ PreviousUniverseAddress
QQp HomeRealityIteration
elv InventoryType
Vn8 Type
>MX Value
b2n Id
1o9 Amount
F9q MaxAmount
eVk DamageFactor
b76 FullyInstalled
>Qh X
XJ> Y
3ZH Index
:No Slots
hl? ValidSlotIndices
1o6 InventoryClass
B@N Class
0H2 SubstanceMaxStorageMultiplier
cTY ProductMaxStorageMultiplier
QL1 BaseStatID
@bB BaseStatValues
QA1 InventorySpecialSlotType
MMm SpecialSlots
=Tb Width
N9> Height
iF: IsCool
NKm Name
F2P Version
;l5 Inventory
PMT Inventory_TechOnly
gan Inventory_Cargo
6<E ShipInventory
Kgt WeaponInventory
@EL Seed
;EM UseSeedValue
9;o Level
CA4 Layout
OsQ Store
OGV IsLarge
qVG PrimaryMode
jl; SecondaryMode
J<o UseLegacyColours
SuJ Multitools
j3E ActiveMultioolIndex
Wv? RequiredSpecialId
ATe LocID
m7b AuthorOnlineID
4ha AuthorUsername
d2f AuthorPlatform
8?J Data
ON4 MySongs
V1o Playlist
s8f Shuffle
1Zr AutoplayOnFoot
Qyw AutoplayInShip
LgS AutoplayInVehicle
8iI ByteBeatLibrary
unY Scale
XID CreatureID
osl Descriptors
WTp CreatureSeed
1p= CreatureSecondarySeed
m9o SpeciesSeed
JrL GenusSeed
HhX CustomSpeciesName
Q6I Predator
5L6 UA
IaE AllowUnmodifiedReroll
uAX ColourBaseSeed
6fX BoneScaleSeed
?<V HasFur
8jm Biome
HbY CreatureType
XwC BirthTime
tDR LastEggTime
KY5 LastTrustIncreaseTime
@Hb LastTrustDecreaseTime
eK9 EggModified
WQX HasBeenSummoned
fH8 CustomName
xDJ Trust
kL5 LocalID
@lA OnlineID
OL5 Username
8>q Platform
b@r TimeStamp
ttq SenderData
JAy Traits
IEo Moods
Mcl Pets
uKZ Eggs
VFd SelectedPreset
SMP DescriptorGroups
RVl Palette
Ty= ColourAlt
duU R
TEM G
txH B
g2; A
xEg Colour
Aak Colours
@6c TextureOptionGroupName
=Cv TextureOptionName
T>1 TextureOptions
tIm BoneName
gsg BoneScales
wnR CustomData
j30 PetAccessoryCustomisation
9Lg UnlockedPetSlots
4eu GraveInventory
BGQ SpawnGrave
;JQ SpaceGrave
NFm GraveUniverseAddress
jU1 x
Uoj y
j22 z
6kQ t
4ia GravePosition
gIh GraveMatrixLookAt
YJU GraveMatrixUp
rj2 ShipLayout
xbM WeaponLayout
93M Filename
QlJ AltId
jN4 Layer
MYl Group
xIx OverrideColour
DE0 OptionName
?=t Options
bnT Samplers
<d2 ProceduralTexture
oJJ CurrentShip
NNR GenerationSeed
e6e CurrentWeapon
4kj KnownTech
eZ< KnownProducts
24< KnownSpecials
Ddk KnownRefinerRecipes
9wn Word
D;o Races
:JX KnownWords
MF2 KnownWordGroups
p0c Mission
tW6 Progress
5bU BuildingSeed
TWn BuildingLocation
M?f ParticipantType
eZ7 Participants
dwb MissionProgress
?eS PostMissionIndex
;R7 CurrentMissionID
k?G CurrentMissionSeed
Mg< PreviousMissionID
rej PreviousMissionSeed
yq: MissionVersion
jGk MissionID
oF@ RecurrenceDeadline
EQt MissionRecurrences
wMC Position
cmA HoloExplorerInteraction
<>B HoloScepticInteraction
:=: HoloNooneInteraction
fSZ Health
KCM ShipHealth
kLc Shield
NE3 ShipShield
dcK Energy
wGS Units
7QL Nanites
kN; Specials
cid ThirdPersonShip
i8O TimeAlive
Lg8 TotalPlayTime
9@i Table
FN5 Event
iqv BuildingClass
ADw Time
1JW MissionSeed
A1f MarkerStack
i;< NewMPMarkerStack
CYJ SurveyedEventPositions
6Ws NextSurveyedEventPositionIndex
:rc GroupId
2Ak Address
>vs IntValue
eoL FloatValue
uOX Denominator
gUR Stats
m4I TelemetryStats
O49 Interactions
Xf4 CurrentPos
a6j StoredInteractions
=yU InventoryContainer
wx7 LastUpdateTimestamp
eyv LastCompletedTimestamp
FML LastBrokenTimestamp
4>; DamageTimers
XV5 Flags
RQA MaintenanceInteractions
VhC PersonalMaintenanceInteractions
nwS VisitedSystems
seg Hazard
9Lm BoltAmmo
VPy ScatterAmmo
:ML PulseAmmo
cO> LaserAmmo
vaP FirstSpawnPosition
SEK SavedRaceIndicies
E?v SavedInteractionIndicies
E=X Hash
2Fk Dialog
Wu? SavedInteractionDialogTable
wHR InteractionProgressTable
vsV AtlasStationAdressData
B9> NewAtlasStationAdressData
:A3 VisitedAtlasStationsData
:0x FirstAtlasStationDiscovered
kPF UsesThirdPersonCharacterCam
DtI ProgressionLevel
QNH ProcTechIndex
eV1 IsNew
wc3 UseSmallerBlackholeJumps
M2L EntitlementId
<dk UsedEntitlements
aHM PlanetPositions
?=a PlanetSeeds
7Mc PrimaryPlanet
05J TimeLastSpaceBattle
8br WarpsLastSpaceBattle
8xx ActiveSpaceBattleUA
IRi TimeLastMiniStation
x=M WarpsLastMiniStation
gpU MiniStationUA
JvI AnomalyPositionOverride
5ST GameStartAddress1
EeN GameStartAddress2
M2Z GalacticMapRequests
nTB FirstShipPosition
G?: HazardTimeAlive
tSD RevealBlackHoles
kYq CurrentFreighterHomeSystemSeed
bIR CurrentFreighter
>Yh FreighterLayout
8ZP FreighterInventory
0wS FreighterInventory_TechOnly
RB7 FreighterUniverseAddress
9wg FreighterMatrixAt
fUl FreighterMatrixUp
lpm FreighterMatrixPos
qJ7 SeenBaseBuildingObjects
b1: Timestamp
r<7 ObjectID
ofi RegionSeed
CVX UserData
wJ0 Up
aNu At
c5s BaseBuildingObjects
r:j GalacticAddresses
eiy BufferSizes
w0G BufferAges
cL6 BufferAnchors
deQ BufferProtected
Mes Edits
=o: TerrainEditData
q08 ResourceElement
BKy InteractionSeed
1wj HiredWorker
gNy FreighterBase
pNt BaseUA
TJx BaseOffset
4Km NPCWorkers
h4X BaseVersion
BpT OriginalBaseVersion
oHw Forward
sHl Message
@ZJ Objects
B2h RID
3?K Owner
DPp PersistentBaseTypes
peI BaseType
J=S LastEditedById
vyN LastEditedByUsername
D9@ ScreenshotAt
rIR ScreenshotPos
pwt PresetGameMode
idA GameMode
C0j PlatformToken
i4g IsReported
tww IsFeatured
F?0 PersistentPlayerBases
gk4 Facing
iAF TeleporterType
a>; CalcWarpOffset
nlG TeleportEndpoints
=3B Chest1Layout
3Nc Chest1Inventory
@ip Chest2Layout
IDc Chest2Inventory
@Ik Chest3Layout
M=: Chest3Inventory
@1E Chest4Layout
iYp Chest4Inventory
XgV Chest5Layout
<IP Chest5Inventory
nw5 Chest6Layout
qYJ Chest6Inventory
tLo Chest7Layout
@e5 Chest7Inventory
7b? Chest8Layout
5uh Chest8Inventory
QBc Chest9Layout
5Tg Chest9Inventory
wqf Chest10Layout
Bq< Chest10Inventory
v8; ChestMagicLayout
;?C ChestMagicInventory
wFm ChestMagic2Layout
fCh ChestMagic2Inventory
RiP CookingIngredientsLayout
Kha CookingIngredientsInventory
Sjw CurrentFreighterNPC
NTx Resource
pMa InventoryLayout
YTa Location
l?l Direction
P;m VehicleOwnership
5sx PrimaryVehicle
@Cs ShipOwnership
aBE PrimaryShip
@Vn MultiShipEnabled
vxi PlayerFreighterName
h=c StartGameShipPosition
Bur ShipNeedsTerrainPositioning
nkF TradingSupplyDataIndex
Iu7 Supply
pfp Demand
JWK Product
b69 TradingSupplyData
3fO PortalSeed
K:U LastPortalUA
oEc IsStoryPortal
HbG LastPortal
NQJ VisitedPortal
vrS KnownPortalRunes
DaC OnOtherSideOfPortal
30s OtherSideOfPortalReturnBase
LIR PortalMarkerPosition_Local
qW; PortalMarkerPosition_Offset
Rfw WeaponMode
;DM StartingPrimaryWeapon
SYl StartingSecondaryWeapon
l:j CharacterCustomisationData
4hl ShipUsesLegacyColours
cf5 Outfits
5LX JetpackEffect
3Z> FleetSeed
SLc ResourceSeed
@ui HomeSystemSeed
4kx TimeOfLastIncomeCollection
uw7 FrigateClass
0Hi AlienRace
SS2 Race
5es TotalNumberOfExpeditions
v=L TotalNumberOfSuccessfulEvents
5VG TotalNumberOfFailedEvents
MuL NumberOfTimesDamaged
Mjm TraitIDs
yJC RepairsMade
7hK DamageTaken
;Du FleetFrigates
o@4 SpawnPosition
4j2 TerminalPosition
b>d SpeedMultiplier
hea Powerups
3oW InterventionEventMissionID
bc< StartTime
?DC PauseTime
dfZ TimeOfLastUAChange
U87 NextEventToTrigger
xVB ExpeditionCategory
TPK ExpeditionDuration
sbg ActiveFrigateIndices
WZs DamagedFrigateIndices
1xe DestroyedFrigateIndices
lD@ AllFrigateIndices
omN NumberOfSuccessfulEventsThisExpedition
G;H NumberOfFailedEventsThisExpedition
iaH AffectedFrigateIndices
QJG RepairingFrigateIndices
fe2 AffectedFrigateResponses
Mx@ EventID
7Q; InterventionEventID
U2F OverriddenDescription
bbB Success
fvN IsInterventionEvent
8GD AvoidedIntervention
tUs Events
b78 InterventionPhoneCallActivated
kw: FleetExpeditions
ieD ExpeditionSeedsSelectedToday
nxr LastKnownDay
>db SunTimer
vXX MultiplayerLobbyID
YxD MultiplayerUA
mEH PlayerPositionInSystem
l2U PlayerTransformAt
tnP ShipPositionInSystem
l4H ShipTransformAt
jk4 LastKnownPlayerState
NGn FreighterPositionInSystem
uAt FreighterTransformAt
5Sg FreighterTransformUp
Ovv AbandonedFreighterPositionInSystem
EkX AbandonedFreighterTransformAt
Bg3 AbandonedFreighterTransformUp
x<b MultiplayerSpawn
;YC MaintenanceContainer
D=h InventorySubIndex
WX8 InventoryIndex
wyZ RepairTechBuffer
kpg MultiplayerPrivileges
<6x QuickMenuActions
TD8 Action
Y5p Number
sM@ KeyActions
k8N HotActions
8GF LastUABeforePortalWarp
7Un StoryPortalSeed
aPn ShopNumber
rk3 ShopTier
Ue9 HasAccessToNexus
hiE NexusUniverseAddress
Fk@ NexusMatrixAt
d72 NexusMatrixUp
Yel NexusMatrixPos
qAx Fog
22a CloudAmount
qLk SunDir
yGF FoV
0tA DepthOfFieldSetting
RUO DepthOfFieldDistance
yuu DepthOfFieldDistanceSpace
n0h HalfFocalPlaneDepth
>xF HalfFocalPlaneDepthSpace
0L0 DepthOfFieldPhysConvergence
HfT DepthOfFieldPhysAperture
L85 Vignette
HJQ Filter
FQ3 Bloom
j3Y PhotoModeSettings
9hR BannerIcon
8DG BannerMainColour
lmE BannerBackgroundColour
aNF BannerTitleId
qFl TelemetryUploadVersion
wb: UsesThirdPersonVehicleCam
T>Z VRCameraOffset
gou SeasonId
hyA StartTimeUTC
jqx EndTimeUTC
8wT Title
GLf Subtitle
myI Description
8sY SeasonalUAOverride
GPe UAOverrideValue
GME FinalReward
0bY FinalCantRewardMessage
Fgx FinalRewardDescription
KlW MainIcon
>dq SeasonNumber
pU@ SeasonName
HE0 SeasonNameUpper
Whh MainMissionTitle
i1< MainMissionMessage
s2L AdditionalTradeProducts
JIH StartingSuitSlots
GO5 StartingSuitTechSlots
g9F StartingSuitCargoSlots
@lX WeaponSeed
3R< ShipSeed
eEU ShipClass
bLP ShipType
dn2 StartWithFreighter
RqY FreighterRace
OMO ValidSpawnBuildings
CKb WeaponInventoryLayout
7jW ShipInventoryLayout
sNc ShipTechInventoryLayout
YNb UseDefaultAppearance
bnC StartNextToShip
K2j DistanceFromShipAtStartOfGame
jA9 ShipStartsDamaged
5XZ AllowMissionDetailMessages
JRE TitleUpper
ZNr DescriptionDone
5Xr CantRewardMessage
6bD StageIndex
>p0 MilestoneIndex
TwN RendezvousIndex
DhC Icon
iGZ IconGrey
8rm MissionIcon
pBH MissionIconSelected
hxI MissionIconNotSelected
SI8 Reward
I;n RewardDescription
iMl CantClaimRewardDescription
Vd< IsRendezvous
leC IsStageControl
Y7c IsEncrypted
YFE Patch
Ujq HoverPopupIcon
pdE DecryptMissionId
6BQ Encryption
kr6 Milestones
3Mw Stages
8d9 ForceInteraction
KO> InteractionType
m5Q ForceInteractionType
K>D ForceBroken
qS7 ForceFixed
RI1 ForceOverridesAll
rbc IsCommunityPortalOverride
hy2 ClearForcedInteractionOnCompletion
:3V BuildingPreventionRadius
wd3 AlwaysShow
F0A NeverShow
WC1 PlanetLabelText
?MX SurveyDistance
pG4 SurveyDiscoveryOSDMessage
EWh EventStartType
J9A EventEndType
<ON EventPriority
apE CanEndFromOutsideMission
4AU DisableMultiplayerSync
lx1 ReplaceEventIfAlreadyActive
a0> BuildingType
U9U AllowFriendsBases
gGT ForceWideRandom
7Ej MustFindSystem
S9I AllowOverriddenBuildings
TRs SolarSystemLocation
CT3 UseStarType
Vc6 UseWealth
8eX UseTrading
uog UseRace
NPd GalaxyStarAnomaly
HnX UseAnomaly
AFe ConflictLevel
kOi UseConflict
RCa GalaxyStarType
2Df StarType
yma WealthClass
0AL TradingClass
IpP TradingData
VOG AllowUnsafeMatches
q:; NeverAllowEmpty
x3h NeverAllowAbandoned
x5Z RequireUndiscovered
GcZ NeedsWaterPlanet
tV6 NeedsExtremeSentinelPlanet
TG< NeverAllowExtremeSentinelPlanet
ObG NeedsExtremeWeatherPlanet
7tH NeedsExtremeHazardPlanet
mTG AnyBiomeNotWeirdOrDead
aZF AnyRGBBiome
6<9 NeedsBiome
5I< NeedsBiomeType
ulQ BiomeSubType
S>> UseBiomeSubType
a4X NeedsEmptySystem
C6D NeedsAbandonedSystem
cD> NeedsResourceHint
wmu NeedsHighCreatureLevel
Ba0 SamePlanetAsEvent
ecs SolarSystemAttributes
VZK SolarSystemAttributesFallback
DBn ForceRestartInteraction
V3H HasReward
<YE NextOption
Pf0 Range
W8B Triggers
sY9 AllowRetrigger
Y3< TriggerActions
0c7 UAsList
2MH TechnologyCategory
aop TechShopType
3Ev OSDMessage
aGL InterstellarOSDMessage
1XT MarkerLabel
1MN MarkerIcon
Q6s ScannerIconHighlightType
Hr: MissionMarkerHighlightStyleOverride
9:T MessageTime
nx= MessageDisplayTime
xSo AkEvent
D3X MessageAudio
7OD IconTime
Sbu TooltipTime
SnP TooltipRepeats
20F ShowEndTooltip
YE6 TooltipMessage
FKM ResourceOverride
QuE ScanEventTable
mVE CompatibleWithState
Rol SeasonData
psf MilestoneValues
aRZ RewardCollected
a=X PinnedStage
pK= PinnedMilestone
:1n RendezvousUAs
erT HasCollectedFinalReward
OpM Radius
;UQ ProtectedLocations
U6K ProtectedEvents
qYy SeasonState
oQl RestartAllInactiveSeasonalMissions
FnB RedeemedSeasonRewards
0Pa RedeemedTwitchRewards
20I UniqueId
qK9 SeedValue
d3x BuildingStates
3@T LastBuildingUpgradesTimestamps
?SU SettlementJudgementType
HMQ PendingJudgementType
OEf Perks
0Qr LastJudgementTime
OI3 LastUpkeepDebtCheckTime
g<v LastDebtChangeTime
HWh LastAlertChangeTime
Kvr DbResourceId
hMW DbTimestamp
gEp DbVersion
CZw ElementId
6X1 LastChangeTimestamp
abj ProductionState
hiD NextBuildingUpgradeIndex
:Qn NextBuildingUpgradeClass
xru NextBuildingUpgradeSeedValue
GQA SettlementStatesV2
LsP SettlementStateRingBufferIndexV2
6f= PlayerStateData
Ft; MultiTool
rnc SpawnStateData
VuQ GameKnowledgeData
yRy Waypoints
S8b GalaxyWaypointType
SSo EventId
fDu DiscoveryManagerData
ETO DiscoveryData-v1
fgt ReserveStore
xxK ReserveManaged
?fB Record
ksu OWS
f5Q LID
K7E UID
q9a DM
q5u CN
=wD FL
D6b PTK
V?r H
bLr C
tiH U
?6B F
8P3 DD
<Dn DT
bEr VP
3I1 TS
kVv TSrec
brV Available
;FZ Enqueued
V?: USN
B89 UserSettingsData
32m InvertLookControls
TTp InvertFlightControls
17F InvertVRInWorldFlightControls
iWq HUDHidden
qR4 Vibration
BYa ScreenBrightness
bfl MusicVolume
vSL SfxVolume
KwQ LookSensitivityV2
nwx FlightSensitivityV2
@R8 MouseSpringSmoothing
NpS UserId
pki BlockedUserArray
qW= NextSlot
9>M ListSize
eLF MessageId
156 BlockedMessageArray
hQ2 MessageNextSlot
Srq MessageListSize
8rR BlockList
53F MotionBlurAmount
J7m DamageNumbers
XG3 PS4FixedFPS
XvB PS4FOVFoot
8im PS4FOVShip
9hL XboxOneXHighResolutionMode
u=o PS4VignetteAndScanlines
TwH BaseSharingMode
bLB SeenSubstances
>Qn SeenTechnologies
B1h SeenProducts
b1D SeenWikiTopics
aZ4 UnlockedWikiTopics
Bgb UnlockedTitles
fyX UnlockedSpecials
d4U UnlockedSeasonRewards
<5B UnlockedTwitchRewards
glF VoiceChat
O9v Multiplayer
2L7 InstantUIInputs
Kcb SpeechToText
@S5 Translate
eA4 CrossPlatform
se1 TemperatureUnit
thy UseOldMouseFlight
wme LastSeenCommunityMission
LmG LastSeenCommunityMissionTier
:P< MovementMode
b9N MovementDirection
K9K MovementDirectionPad
OX4 MovementDirectionHands
<1t TurnMode
id: UseVrVignette
Gs0 UseShipAutoControlVignette
90= HUDZoom
?IX FrontendZoom
gBT UseAutoTorch
mny UIColourScheme
Ffw EnableModdingConsole
wOy VRHeadBob
oLD VRShowBody
kjc UseCharacterHeightForCamera
cKb BaseComplexityLimitsEnabled
s4Q EnableLargeLobbies
V86 FireteamSessionCount
:@U VibrationStrength
N4> TriggerFeedbackStrength
eRg UpgradedUsers
rBG PlayerWeaponName
OCG SunDirSet
ARP FoVSet
?sW DepthOfField
